ERD_No,dataset1_grade,dataset2_grade
104,80.0,87.0
105,76.3325,83.0
106,76.0,83.0
107,79.0,83.0
108,79.0,89.0
109,81.6675,81.0
110,72.33500000000001,78.0
111,77.6675,90.0
112,75.3325,90.0
114,74.6675,78.0
115,75.6675,86.0
116,76.3325,83.0
117,76.3325,88.0
118,71.6675,90.0
119,78.6675,86.0
121,79.6675,84.0
122,74.3325,90.0
123,74.0,87.0
124,74.3325,84.0
125,71.6675,95.0
127,71.6675,
128,77.6675,83.0
129,79.0,90.0
130,78.66499999999999,83.0
131,77.0,83.0
132,72.33500000000001,83.0
133,77.33500000000001,91.0
134,76.6675,81.0
135,75.6675,85.0
136,75.3325,89.0
