ERD_No,dataset1_grade,dataset2_grade
104,83.15,90.55
105,75.15,93.82
106,79.15,93.45
107,79.15,93.45
108,77.82,94.55
109,81.82,86.18
110,82.55,94.91
111,81.45,86.18
112,81.21,92.73
114,77.7,94.91
115,78.67,85.45
116,77.94,93.82
117,77.09,93.82
118,74.55,92.36
119,76.36,93.09
121,85.21,87.64
122,84.85,84.73
123,80.12,85.82
124,77.94,91.27
125,75.88,88.0
127,75.88,
128,75.15,84.36
129,76.0,84.0
130,75.51,92.0
131,76.85,93.09
132,75.64,93.82
133,83.64,92.73
134,76.36,84.0
135,77.82,93.82
136,76.73,84.36
